INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column
303231197,03/19/2025,00:20:00,BRONX,OUTSIDE,52,0,STREET,(null),N,45-64,M,WHITE HISPANIC,25-44,M,BLACK,1013654,255157,40.866982,-73.893691,POINT (-73.893691 40.866982)
299996365,01/24/2025,20:20:00,BRONX,OUTSIDE,42,0,STREET,(null),N,(null),(null),(null),25-44,M,BLACK,1014445,240852,40.827717,-73.890893,POINT (-73.890893 40.827717)
303562943,03/24/2025,01:25:00,BROOKLYN,OUTSIDE,69,0,STREET,(null),N,18-24,M,BLACK,45-64,M,BLACK,1012661,174513,40.64562890249865,-73.89762056415319,POINT (-73.89762056415319 40.64562890249865)
299683365,01/18/2025,17:30:00,QUEENS,OUTSIDE,113,0,STREET,(null),Y,45-64,M,BLACK,45-64,M,BLACK,1053262,194744,40.700934917299435,-73.75110770840243,POINT (-73.75110770840243 40.700934917299435)
301377740,02/13/2025,19:20:00,BROOKLYN,OUTSIDE,75,0,COMMERCIAL,STORE UNCLASSIFIED,N,(null),(null),(null),18-24,M,BLACK,1015480,181597,40.665074,-73.887429,POINT (-73.887429 40.665074)
300261482,01/29/2025,18:15:00,MANHATTAN,OUTSIDE,25,0,STREET,(null),N,(null),(null),(null),25-44,M,WHITE HISPANIC,1002275,233608,40.807866,-73.934886,POINT (-73.934886 40.807866)
303700019,03/26/2025,14:21:00,QUEENS,OUTSIDE,103,0,STREET,(null),Y,(null),(null),(null),<18,M,BLACK,1043590,195903,40.70418623,-73.78597948,POINT (-73.78597948 40.70418623)
299329906,01/12/2025,23:00:00,BRONX,INSIDE,43,0,DWELLING,MULTI DWELL - APT BUILD,N,25-44,M,BLACK,25-44,M,BLACK HISPANIC,1018624,241852,40.830446,-73.875789,POINT (-73.875789 40.830446)
300951836,02/11/2025,07:30:00,BROOKLYN,OUTSIDE,83,0,STREET,(null),Y,25-44,M,WHITE HISPANIC,25-44,F,WHITE HISPANIC,1008907,191957,40.693531,-73.911082,POINT (-73.911082 40.693531)
300999026,02/12/2025,06:13:00,BRONX,OUTSIDE,43,0,(null),(null),N,(null),(null),(null),18-24,M,BLACK HISPANIC,1014256,250228,40.853451,-73.891536,POINT (-73.891536 40.853451)
301320655,02/18/2025,08:18:00,MANHATTAN,INSIDE,7,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,WHITE HISPANIC,45-64,M,BLACK,989138,199179,40.713385,-73.982369,POINT (-73.982369 40.713385)
299329906,01/12/2025,23:00:00,BRONX,INSIDE,43,0,DWELLING,MULTI DWELL - APT BUILD,N,18-24,M,BLACK,25-44,M,BLACK HISPANIC,1018624,241852,40.830446,-73.875789,POINT (-73.875789 40.830446)
301745796,02/26/2025,13:43:00,BRONX,OUTSIDE,47,0,STREET,(null),N,<18,M,BLACK,18-24,M,BLACK,1027595,264660,40.893009,-73.843223,POINT (-73.843223 40.893009)
300430000,02/02/2025,01:24:00,BRONX,OUTSIDE,48,0,STREET,(null),Y,<18,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1011981,247838,40.846899,-73.899769,POINT (-73.899769 40.846899)
302892958,03/16/2025,02:20:00,MANHATTAN,INSIDE,23,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,(null),(null),(null),<18,M,WHITE HISPANIC,998430,228773,40.794604,-73.948786,POINT (-73.948786 40.794604)
303829750,03/28/2025,23:50:00,MANHATTAN,OUTSIDE,32,2,HOUSING,MULTI DWELL - APT BUILD,N,(null),(null),(null),25-44,M,BLACK HISPANIC,999874,238251,40.820614,-73.94355,POINT (-73.94355 40.820614)
301529587,02/22/2025,00:38:00,BRONX,INSIDE,45,2,HOUSING,MULTI DWELL - PUBLIC HOUS,Y,18-24,M,WHITE HISPANIC,18-24,M,BLACK HISPANIC,1032397,238442,40.821023,-73.826044,POINT (-73.826044 40.821023)
302446875,03/11/2025,14:15:00,BROOKLYN,OUTSIDE,90,0,COMMERCIAL,STORE UNCLASSIFIED,Y,(null),(null),(null),18-24,M,WHITE HISPANIC,998002,196692,,,
303301268,03/20/2025,08:00:00,BROOKLYN,OUTSIDE,83,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1006935,193011,40.696427,-73.918193,POINT (-73.918193 40.696427)
298949942,01/03/2025,17:30:00,BRONX,OUTSIDE,44,0,STREET,(null),N,25-44,M,BLACK HISPANIC,<18,M,BLACK,1007076,246675,40.843722,-73.917502,POINT (-73.917502 40.843722)
303829749,03/28/2025,14:29:00,STATEN ISLAND,OUTSIDE,120,0,STREET,(null),Y,25-44,M,BLACK,25-44,M,WHITE HISPANIC,963153,171643,40.63777181,-74.07601437,POINT (-74.07601437 40.63777181)
301479775,02/21/2025,07:05:00,BROOKLYN,OUTSIDE,67,0,DWELLING,MULTI DWELL - APT BUILD,N,18-24,M,BLACK,18-24,M,BLACK HISPANIC,997703,178036,40.655344,-73.951514,POINT (-73.951514 40.655344)
301184410,02/16/2025,14:55:00,QUEENS,INSIDE,114,0,COMMERCIAL,(null),N,(null),(null),(null),<18,M,BLACK HISPANIC,1001016,213414,40.752444,-73.939488,POINT (-73.939488 40.752444)
301679844,02/25/2025,01:02:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),N,25-44,M,BLACK,25-44,M,BLACK,1006601,183275,40.669706,-73.919429,POINT (-73.919429 40.669706)
303301268,03/20/2025,08:00:00,BROOKLYN,OUTSIDE,83,2,HOUSING,MULTI DWELL - PUBLIC HOUS,N,25-44,M,WHITE HISPANIC,25-44,M,BLACK,1006935,193011,40.696427,-73.918193,POINT (-73.918193 40.696427)
